x,y,gesture
7.651683,4.7116833,103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_1_Gesture_0.80_6.77
7.888662,9.403262,103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_2_Gesture_7.80_10.33
7.9833055,7.3224406,103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_3_Gesture_14.07_17.40
7.675891,4.671394,103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_4_Gesture_0.80_6.63
7.856062,9.37983,103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_5_Gesture_7.80_10.33
8.016121,7.2833805,103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_6_Gesture_14.00_17.40
1.4416835,6.9704604,103_203_12_1_20250113_152455_doughnut_board_guesser_cam02.mp4_segment_1_Gesture_3.07_3.67
-0.33374014,6.80549,103_203_12_1_20250113_152455_doughnut_board_guesser_cam02.mp4_segment_2_Gesture_16.47_17.40
3.0618966,2.222393,103_203_12_1_20250113_152455_doughnut_board_guesser_cam02.mp4_segment_3_Gesture_2.80_3.00
7.932062,5.217519,103_203_13_1_20250113_152513_spinach_board_clueGiver_cam02.mp4_segment_1_Gesture_8.40_9.90
7.872424,6.2851734,103_203_13_1_20250113_152513_spinach_board_clueGiver_cam02.mp4_segment_2_Gesture_11.00_17.50
7.937324,6.109201,103_203_13_1_20250113_152513_spinach_board_clueGiver_cam02.mp4_segment_3_Gesture_7.87_17.50
0.53646976,7.025475,103_203_13_1_20250113_152513_spinach_board_guesser_cam02.mp4_segment_1_Gesture_16.20_17.50
0.3080325,6.910267,103_203_13_1_20250113_152513_spinach_board_guesser_cam02.mp4_segment_2_Gesture_16.90_17.00
7.3516765,3.4893823,103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_1_Gesture_0.80_2.00
7.449288,7.849282,103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_2_Gesture_2.53_6.77
8.094956,7.7207375,103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_3_Gesture_7.63_22.03
7.4210567,5.3874936,103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_4_Gesture_0.80_6.20
7.356759,9.956407,103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_5_Gesture_7.73_7.97
8.097203,7.6178274,103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_6_Gesture_8.63_22.03
7.708544,6.010478,103_203_15_1_20250113_152557_bacon_board_clueGiver_cam02.mp4_segment_1_Gesture_0.80_19.37
8.823752,4.0277553,103_203_15_1_20250113_152557_bacon_board_clueGiver_cam02.mp4_segment_2_Gesture_20.00_20.47
7.773641,6.0923066,103_203_15_1_20250113_152557_bacon_board_clueGiver_cam02.mp4_segment_3_Gesture_0.80_20.47
7.3604536,3.5023723,103_203_16_1_20250113_152613_chlorine_board_clueGiver_cam02.mp4_segment_1_Gesture_0.80_2.47
7.6076083,3.2229245,103_203_16_1_20250113_152613_chlorine_board_clueGiver_cam02.mp4_segment_2_Gesture_3.33_4.47
8.218922,8.243216,103_203_16_1_20250113_152613_chlorine_board_clueGiver_cam02.mp4_segment_3_Gesture_6.70_14.40
7.3572397,3.4344165,103_203_16_1_20250113_152613_chlorine_board_clueGiver_cam02.mp4_segment_4_Gesture_0.80_4.23
7.986912,3.0466006,103_203_16_1_20250113_152613_chlorine_board_clueGiver_cam02.mp4_segment_5_Gesture_4.83_5.17
8.2328415,8.237828,103_203_16_1_20250113_152613_chlorine_board_clueGiver_cam02.mp4_segment_6_Gesture_6.27_14.43
8.182013,4.9153576,103_203_17_1_20250113_152643_leather_board_clueGiver_cam02.mp4_segment_1_Gesture_1.03_5.47
7.428178,8.555939,103_203_17_1_20250113_152643_leather_board_clueGiver_cam02.mp4_segment_2_Gesture_6.40_9.80
8.389076,5.1109505,103_203_17_1_20250113_152643_leather_board_clueGiver_cam02.mp4_segment_3_Gesture_14.07_17.37
7.2400107,8.449551,103_203_17_1_20250113_152643_leather_board_clueGiver_cam02.mp4_segment_4_Gesture_18.40_21.27
8.467745,5.9845705,103_203_17_1_20250113_152643_leather_board_clueGiver_cam02.mp4_segment_5_Gesture_22.53_29.50
7.9621515,6.319945,103_203_17_1_20250113_152643_leather_board_clueGiver_cam02.mp4_segment_6_Gesture_0.80_29.50
7.9696064,3.0664926,103_203_18_1_20250113_152657_pillow_board_clueGiver_cam02.mp4_segment_1_Gesture_0.80_1.30
5.3569984,7.9760065,103_203_18_1_20250113_152657_pillow_board_clueGiver_cam02.mp4_segment_2_Gesture_4.60_5.73
7.7451816,5.986935,103_203_18_1_20250113_152657_pillow_board_clueGiver_cam02.mp4_segment_3_Gesture_8.33_11.60
5.163056,7.7465835,103_203_18_1_20250113_152657_pillow_board_clueGiver_cam02.mp4_segment_4_Gesture_4.13_5.70
7.8423257,6.108839,103_203_18_1_20250113_152657_pillow_board_clueGiver_cam02.mp4_segment_5_Gesture_8.10_11.90
8.217308,4.26479,103_203_19_1_20250113_152712_traffic_board_clueGiver_cam02.mp4_segment_1_Gesture_9.67_14.57
8.2717705,4.2200017,103_203_19_1_20250113_152712_traffic_board_clueGiver_cam02.mp4_segment_2_Gesture_9.60_14.57
7.6469855,3.4238555,103_203_20_1_20250113_152735_bitter_board_clueGiver_cam02.mp4_segment_1_Gesture_0.80_1.97
8.246979,6.219948,103_203_20_1_20250113_152735_bitter_board_clueGiver_cam02.mp4_segment_2_Gesture_2.47_22.33
8.26213,6.2094398,103_203_20_1_20250113_152735_bitter_board_clueGiver_cam02.mp4_segment_3_Gesture_0.80_22.33
8.399179,5.513315,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_10_Gesture_16.40_18.67
8.048665,3.0745268,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_11_Gesture_19.37_19.53
8.388321,6.12019,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_12_Gesture_23.80_47.53
7.2873077,3.5330532,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_1_Gesture_0.80_3.33
8.242661,3.5413713,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_2_Gesture_9.43_10.40
1.3304427,6.128108,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_3_Gesture_11.03_11.97
8.402503,5.5319595,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_4_Gesture_16.53_18.37
8.035447,7.5928383,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_5_Gesture_24.33_27.43
9.381636,5.721322,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_6_Gesture_27.97_30.27
8.329328,6.100237,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_7_Gesture_31.17_47.53
7.3112774,3.4650977,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_8_Gesture_0.80_2.97
8.020693,3.4979448,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_9_Gesture_9.20_11.43
7.290602,10.181683,103_203_21_1_20250113_152824_tiger_board_guesser_cam02.mp4_segment_1_Gesture_33.83_36.07
7.3815393,10.15978,103_203_21_1_20250113_152824_tiger_board_guesser_cam02.mp4_segment_2_Gesture_34.70_35.50
7.9743533,8.539904,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_10_Gesture_13.20_18.50
8.092108,9.076122,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_11_Gesture_22.17_26.87
4.451605,6.998071,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_12_Gesture_27.50_28.57
8.237388,8.4983425,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_13_Gesture_29.27_33.00
