end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.11441022,0.98834115,0.00051369093,0.12018141,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.249435e-05,9.722727e-06,193.80077,258.40103,588.5801,3761.1707,0.0034229513,1100.1598,5.257828,4858530.5,3.09404,13.580014,-4.3951837e-05,0.85109836,4.9306527e-05,10.058327,19.360792,-3.1596353,4.530504,0.41339698,0.035544753,-12.662387,-11.89159,-2.824578,-7.7519054,-9.693908,-4.7626653,-15.301467,-8.7624235,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.094404936,0.98834115,0.00039594423,0.10136055,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.143506e-05,6.463319e-06,165.08954,279.93445,617.2913,3373.5686,0.0048157643,1048.9559,5.469625,4537005.0,3.5153553,19.116034,-2.6150447e-05,0.8100074,2.8855431e-05,10.481623,16.971098,-0.2908256,5.251639,-0.3934482,-0.63957435,-7.272713,-11.374919,-1.2894577,-4.3888373,-0.14570332,0.7843809,-9.6235,-5.0751333,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.069658756,0.98834115,0.00026568424,0.073469386,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.0739651e-05,2.854209e-06,150.73393,272.75662,581.4023,2548.1213,0.005958222,869.0484,5.3563676,3623390.8,5.622374,54.11267,-8.731144e-06,0.6808389,8.277209e-06,12.566924,15.138687,5.426951,8.754357,0.3075041,-1.1336924,-3.229145,-13.314479,-4.269934,-4.2928367,6.0282493,1.8291069,-6.3372674,-1.2696663,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.051818933,0.98834115,0.00019362604,0.067800455,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,7.0790193e-06,1.0758123e-06,136.37831,236.86761,330.1791,825.4477,0.0033840432,542.4997,4.7415814,2269252.8,7.8155065,84.94454,-5.8122023e-06,0.45027974,4.5434012e-06,14.942496,15.422137,8.842678,11.11073,3.6151874,-2.4545228,-5.989893,-13.709283,-3.2955182,-7.9880676,6.486569,-0.34002066,-5.795323,-0.11418327,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.042333532,0.98677397,0.00015553944,0.060997736,0.1309092,0.26430574,0.40322724,0.5589333,0.68089026,0.79173183,0.84878904,0.9239982,0.98507977,1.0585445,1.1169819,1.1536593,1.2523724,1.2573737,1.3212223,1.3371563,1.4109071,1.4385486,1.4584624,1.4037275,1.3478419,1.2269775,1.0559611,0.8936167,0.7407105,0.5941921,4.918712e-06,5.923846e-07,107.66709,200.97858,279.93445,516.80206,0.002557381,452.4463,4.478129,2265185.2,8.83506,97.64111,-4.399037e-06,0.38350835,3.19708e-06,16.750036,13.343318,9.123795,12.647884,6.6407065,-2.425717,-9.345853,-15.046001,-8.304315,-9.924698,-0.16039737,-3.203292,-5.8303466,0.4056705,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.03772351,0.9846847,0.00013176103,0.06462585,0.13377619,0.26041883,0.40287542,0.5742704,0.70154744,0.8056068,0.8698928,0.9192726,0.98873407,1.0637717,1.1193563,1.1456703,1.2569299,1.2537112,1.3276879,1.3070362,1.3888683,1.44804,1.4423252,1.390502,1.322332,1.2110268,1.0450974,0.89235544,0.7441823,0.5865131,2.8977804e-06,4.593944e-07,86.133675,251.22322,315.8235,667.53595,0.0019229524,522.86383,4.5119777,2993562.8,8.139048,79.63882,-2.5433294e-06,0.43796882,2.093313e-06,17.757574,9.893769,4.26837,7.528568,5.198949,-4.892979,-11.917465,-13.30011,-7.0920815,-9.294379,-0.7810771,0.32193264,-1.0572324,2.8289106,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.035999533,0.9806945,0.00012238944,0.069614515,0.13754344,0.2683027,0.4064559,0.5732229,0.7010109,0.8061871,0.85992146,0.89575577,0.9752855,1.052218,1.1043901,1.1337453,1.2321486,1.2430078,1.3332701,1.3002133,1.3891412,1.4462752,1.4450717,1.3819209,1.3208934,1.2077385,1.0574281,0.89795494,0.7473332,0.5816167,2.9353785e-06,4.4251988e-07,64.60026,272.75662,366.0681,775.20306,0.0014198744,594.96826,4.7391896,3783689.8,7.4676557,64.728,-1.8547715e-06,0.49438265,1.4144034e-06,19.280838,8.99853,0.27215707,4.511637,3.686598,-5.957062,-12.960849,-13.591034,-4.742399,-3.818369,0.8517378,4.912697,0.9718377,3.144619,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.03607334,0.9786797,0.000117449985,0.08321995,0.1360763,0.27439296,0.41698685,0.55886596,0.6745902,0.7686332,0.8451216,0.887633,0.96702194,1.0285064,1.1053221,1.1454216,1.205746,1.2619882,1.3484435,1.3350595,1.3933009,1.4419088,1.4461125,1.3994952,1.3380197,1.1986089,1.0542474,0.89464086,0.7402263,0.57930213,2.5729717e-06,4.921582e-07,64.60026,287.11224,480.913,969.00385,0.0012763098,702.95197,4.877869,4739946.0,6.8140635,54.369434,-1.5828606e-06,0.57028383,1.2140937e-06,18.925749,6.253981,-2.3715742,1.430698,2.2021341,-6.2220054,-9.786653,-11.215801,-2.8316631,0.90286416,4.508339,4.3372035,5.491253,6.072949,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.035232186,0.97315186,0.00011251041,0.08049887,0.13362753,0.27813864,0.42160502,0.5484542,0.6546996,0.7558877,0.8232321,0.89684176,0.9489835,1.0205044,1.0901284,1.1395167,1.1960424,1.2644558,1.3308625,1.3366982,1.3862478,1.4366802,1.456864,1.4023142,1.3378125,1.2006999,1.0443083,0.8883619,0.72929835,0.57968175,1.7806688e-06,4.5956776e-07,57.42245,208.15637,473.7352,997.715,0.0011719567,706.582,4.9739294,5105709.5,6.5247884,49.64014,-1.4541678e-06,0.56041926,1.0502316e-06,18.577423,6.832419,-0.056951445,2.8620749,4.1143384,-2.4600935,-5.181478,-8.762393,-3.4604645,4.9269576,5.7927914,1.0303258,2.9899786,5.828775,116_216_15_1_20250116_102602_siren_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.036159396,0.9743581,0.00010726178,0.07777778,0.12955391,0.27361992,0.42206016,0.5607318,0.6732921,0.76968783,0.8347769,0.9035981,0.96144867,1.0308756,1.0910913,1.139153,1.2238373,1.2598987,1.3176936,1.3206981,1.3723698,1.452733,1.4399158,1.3854828,1.3327032,1.2057413,1.0390083,0.8828254,0.7267258,0.5837882,1.6944678e-06,4.7133335e-07,35.88903,215.33418,480.913,1069.4932,0.0013362389,703.9589,4.927906,4931608.5,6.5137477,50.16821,-1.4760798e-06,0.55683154,1.1052788e-06,18.117243,5.362785,-0.6475459,1.5367187,1.8874248,-3.4521751,-3.57265,-5.035832,-4.545174,4.664841,6.5905137,0.34630904,1.6519008,5.716845,116_216_15_1_20250116_102602_siren_board.wav
