end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.082192056,0.98834115,0.0002052966,0.22675736,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.683165e-06,5.083591e-06,294.29007,1327.8942,4184.661,6696.893,0.0013814893,2596.223,6.905206,9385529.0,1.6746479,7.078076,-5.4292727e-06,1.8285252,6.8182326e-06,0.026029745,10.002581,2.9624002,3.8712454,0.93098545,-2.7643473,-14.351184,-23.625528,-4.6146984,-7.3258843,-0.010392805,2.8726902,-0.59608334,3.4120948,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.066557504,0.98834115,0.00017599347,0.16031745,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.650903e-06,3.271389e-06,200.97858,789.5588,2584.0103,5426.4214,0.0021672563,1924.0084,6.4201646,7893253.5,2.660106,13.613303,-3.836005e-06,1.3781263,4.3453974e-06,4.273504,10.468001,2.1937375,5.870809,2.7886283,0.47132048,-10.320211,-21.506346,-2.6316206,-3.5231068,4.4822664,1.059245,-1.8515835,2.7800086,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.048139688,0.98834115,0.00013539051,0.095691614,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.9410996e-06,1.3266941e-06,93.311485,272.75662,846.98114,3402.28,0.0027650613,1121.5718,5.506925,5922200.0,4.339743,27.83818,-2.2227196e-06,0.8396611,1.9071562e-06,9.76787,10.6547575,0.5816264,6.277559,3.2056353,0.50656384,-7.2852798,-21.651499,-3.4979575,1.137659,7.064024,-2.5858877,-2.1762497,0.3795065,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03948747,0.98834115,0.000120410514,0.09455782,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.0954624e-06,6.224777e-07,43.066837,279.93445,531.15765,1859.0518,0.0018319911,847.2661,5.177231,5125893.0,5.583633,40.15317,-1.5733591e-06,0.65886825,1.2060071e-06,14.073812,10.604594,-2.5585825,0.58548194,2.4806795,-0.22063987,-2.1580687,-17.062132,-7.0851455,-0.98977804,10.954693,0.01782457,-0.25830957,2.2080724,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.03652158,0.9827059,0.00011672821,0.090022676,0.13313441,0.2692118,0.41359958,0.5468685,0.68409896,0.7647538,0.82805985,0.89100724,0.9759941,1.0328134,1.0827368,1.1740505,1.2022187,1.2581431,1.3186756,1.3588852,1.4159657,1.4605438,1.453499,1.4204782,1.3343893,1.232509,1.0713592,0.89444536,0.7382358,0.5946732,2.8637157e-06,4.877408e-07,50.244644,308.64566,409.13498,947.4704,0.0014314117,688.08514,4.8119903,4375900.5,6.6693344,53.027985,-1.6542457e-06,0.5586125,1.1896819e-06,16.72666,9.842889,-1.2374724,0.09746186,0.9375767,-4.394827,-5.0455556,-18.954153,-10.534617,1.3900646,11.665429,-0.74357325,1.1697589,3.039098,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.035951182,0.97128344,0.000117237905,0.097278915,0.13322954,0.26307288,0.41316184,0.53967595,0.6704083,0.77170295,0.8094843,0.8850334,0.9510645,1.0249007,1.0698957,1.151585,1.2031034,1.2388967,1.2922074,1.3338013,1.403109,1.4449478,1.4303942,1.3982958,1.3241776,1.2196163,1.064698,0.88691634,0.7375868,0.5924023,2.6733258e-06,4.759108e-07,64.60026,279.93442,409.13492,897.22577,0.0012669464,670.93036,4.968399,4380735.5,6.780624,53.83901,-1.6483018e-06,0.54783505,1.096607e-06,18.232635,9.110294,1.3382846,2.4023867,2.08895,-4.408957,-6.5790896,-13.980008,-13.100568,0.17308068,11.662479,-2.360904,-1.7000779,4.1187143,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.035580367,0.96629643,0.000114367635,0.088435374,0.13029242,0.25603992,0.40799412,0.5323965,0.6608512,0.7744279,0.80039597,0.91381663,0.9623265,1.0271674,1.0604833,1.1309288,1.1993574,1.2325357,1.2838724,1.3250781,1.3977829,1.4214748,1.4063749,1.3784987,1.3192658,1.221578,1.0663751,0.891874,0.7349753,0.58754325,2.6304326e-06,4.6922742e-07,57.42245,265.57883,380.42374,1055.1376,0.0011566195,718.186,4.899298,4912411.0,6.453489,49.277313,-1.5671329e-06,0.57529515,1.141405e-06,17.06971,7.341896,2.8159754,7.2056217,1.0535202,-7.71682,-8.765648,-17.618631,-15.780719,1.0607667,8.343086,-2.7048934,-1.3087523,2.7224445,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.035811167,0.9645372,0.00010836527,0.088208616,0.12943904,0.2528188,0.40231538,0.5455763,0.66563314,0.78805345,0.8214736,0.9379277,0.97883147,1.0354556,1.0704551,1.1016198,1.1854839,1.2154583,1.2693716,1.3239871,1.3877398,1.4077445,1.4102691,1.3735161,1.3231422,1.200696,1.0656366,0.88341564,0.7265205,0.5753878,2.0525338e-06,4.8738315e-07,35.88903,272.75662,401.95715,1227.4048,0.0012019558,765.0767,4.992113,5267243.5,6.1326632,44.473797,-1.3989433e-06,0.606916,1.1657124e-06,16.99365,5.8806796,1.059803,4.9058886,-0.11406008,-5.167959,-5.595569,-16.054781,-16.668743,-1.2706767,9.450157,-2.4394343,-1.2064844,3.898092,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.03642954,0.9673223,0.000114865834,0.07573696,0.13268143,0.2643702,0.40943944,0.5548706,0.68030185,0.7880001,0.8606344,0.91666317,0.988976,1.0321549,1.0700717,1.1095151,1.1832051,1.220941,1.2662463,1.3217456,1.3756167,1.4161998,1.4248654,1.3839456,1.3277355,1.2019092,1.0475439,0.87944716,0.7178928,0.5754054,2.546425e-06,4.696328e-07,35.889034,294.29007,416.31274,1105.3822,0.0012266148,730.437,4.9371247,4796928.5,6.567524,51.589478,-1.5853929e-06,0.58833665,1.4233448e-06,17.878778,6.4594765,0.44174695,2.6119864,-3.0697567,-5.382995,-4.712883,-17.568094,-15.034999,0.42968717,8.925886,-0.9604561,-0.39292789,1.008576,116_216_42_1_20250116_103705_exam_ground.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.035483364,0.9676439,0.00011269789,0.07460317,0.13338123,0.26955554,0.41400233,0.5503457,0.6642526,0.7637113,0.84866554,0.8849409,0.96775764,1.0259602,1.0743381,1.1265205,1.1977888,1.2353041,1.27358,1.3291341,1.3726841,1.4243754,1.4367943,1.3920765,1.328868,1.2132207,1.0463222,0.87840146,0.7231386,0.5836208,2.1503758e-06,4.123068e-07,35.88903,265.57883,387.60156,947.4704,0.0013636746,679.69525,4.8493733,4724954.5,6.6642776,52.52876,-1.6323517e-06,0.54679835,1.3321611e-06,18.581415,8.365208,0.68323404,0.89927953,-0.89655685,1.1300405,-2.3111143,-11.681796,-11.178956,-1.3843309,10.116918,-0.3409866,-4.0562267,0.30049658,116_216_42_1_20250116_103705_exam_ground.wav
