end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.095061384,0.98834115,0.00022746784,0.23809524,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.5564598e-06,6.839122e-06,1435.5614,3775.5261,5878.623,8304.722,0.0017940443,4079.8594,7.7324433,10896730.0,0.9746385,4.933622,-6.8946188e-06,2.8358696,9.555049e-06,-2.5469396,13.053098,-2.1502116,-1.3141955,6.4735627,-3.2569695,-1.0352389,-8.487102,3.1169255,-9.582818,-0.6677186,-0.4038601,-9.034347,2.572093,116_216_45_1_20250116_103813_gravy_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.07934305,0.98834115,0.00019714423,0.17120183,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.898629e-06,4.530687e-06,789.55865,2031.3192,3718.1035,5720.711,0.0026260342,2630.5537,6.677547,7915038.0,2.605311,17.51912,-5.7729108e-06,1.8498645,6.9375496e-06,3.1108086,12.235103,2.7046719,0.99412066,6.404158,-1.2288474,0.336023,-9.4424925,1.3481636,-3.1870525,1.6392874,-2.7821395,-10.494629,0.32158995,116_216_45_1_20250116_103813_gravy_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.059751768,0.98834115,0.0001552604,0.102721095,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.6993712e-06,1.9896427e-06,122.022705,308.64566,1686.7843,3423.8135,0.0036822984,1278.4097,5.858251,5694330.5,4.026102,26.641861,-3.5653745e-06,0.93067235,3.3095137e-06,8.740806,9.358946,5.0319977,3.0930436,6.533888,-0.6774667,1.471098,-8.607244,2.1131265,2.3442662,2.768502,-2.79881,-9.302342,-0.59760076,116_216_45_1_20250116_103813_gravy_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.04971126,0.98834115,0.0001322456,0.08934241,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.3122623e-06,1.191836e-06,86.133675,215.33418,538.33545,2110.2751,0.0023767247,893.36554,5.374433,4908684.5,5.10536,35.311398,-2.7610015e-06,0.6765314,2.437327e-06,11.796102,8.617463,4.7901807,1.315729,5.775719,2.8865538,-3.2420967,-8.923107,2.1304142,-2.5489113,0.16269708,-1.1046648,-5.737429,-0.57290596,116_216_45_1_20250116_103813_gravy_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.042917226,0.9941986,0.000116165575,0.07936508,0.13242634,0.2823086,0.42370296,0.56499296,0.68448526,0.80046993,0.8758741,0.90393114,0.975807,1.0365407,1.1066589,1.1691095,1.193583,1.3167248,1.3406922,1.3821435,1.4115595,1.4518253,1.4905945,1.4533485,1.3746858,1.2272938,1.0381881,0.8836775,0.7361737,0.5923669,1.4813787e-06,7.9783234e-07,43.066837,200.97858,610.1135,2024.1415,0.0019569732,922.8381,5.405302,5604741.5,5.1820006,34.597622,-1.5440455e-06,0.6968685,1.3082341e-06,12.7395735,6.1106873,2.1297448,2.1857622,4.7982397,1.6884747,-1.4969193,-7.7550797,1.5558757,-2.0812829,4.489161,2.9366207,-2.179753,-0.9158943,116_216_45_1_20250116_103813_gravy_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.039970197,0.9987676,0.0001104403,0.081179135,0.133696,0.2781795,0.43845454,0.57018,0.6890556,0.8116738,0.903811,0.9154431,0.9589,1.0311843,1.1146641,1.192541,1.1977044,1.3122468,1.3165207,1.373364,1.4125134,1.4585541,1.5188261,1.479526,1.3978673,1.2443633,1.0199002,0.87247324,0.73414105,0.5921747,1.4294666e-06,6.023929e-07,21.533419,208.15637,502.4464,1571.9396,0.0012770802,854.33374,5.1950564,5455656.0,5.4869576,37.819645,-1.4317508e-06,0.6508343,1.1510899e-06,13.387325,7.0201087,1.605116,-0.16716671,7.080877,3.035782,-2.3840337,-12.538831,-4.3473506,-2.7374992,1.4124016,3.0409172,2.0864635,-0.4752873,116_216_45_1_20250116_103813_gravy_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.039755505,0.9979987,0.000115283474,0.075283445,0.1345474,0.27955762,0.44625124,0.5679911,0.687004,0.815574,0.9029812,0.9219317,0.9460251,1.0321544,1.1051884,1.1869888,1.1972835,1.3166257,1.3158177,1.3623081,1.4226713,1.4823908,1.5265484,1.4841477,1.3775711,1.2374444,1.0096923,0.86434203,0.7335368,0.591393,1.490891e-06,5.6272637e-07,21.533419,208.15639,459.3796,1385.3165,0.0012118033,806.71466,5.0970693,5185048.5,5.7202096,40.74559,-1.4891585e-06,0.61662483,1.1940642e-06,13.696527,6.879853,3.047519,-1.1139448,6.3518577,1.9501699,-1.744887,-9.410851,-8.170948,-0.563315,2.973684,3.2710342,0.26439428,-2.7219326,116_216_45_1_20250116_103813_gravy_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.04070961,0.99179125,0.0001134724,0.07777778,0.13167626,0.26787493,0.43023086,0.55473787,0.68729335,0.7938571,0.88607574,0.9310172,0.94309074,1.0339066,1.1016765,1.1942415,1.2031964,1.2988992,1.3201739,1.3440723,1.4485617,1.5053267,1.4974495,1.4461021,1.337955,1.2194846,1.0200958,0.8727377,0.73048085,0.58635736,1.5606001e-06,7.0343344e-07,21.533419,279.93445,588.5801,1866.2295,0.0012535676,890.7368,5.169786,5282912.0,5.5162673,38.98907,-1.4584647e-06,0.666935,1.1592606e-06,12.717056,6.2065635,4.047006,-5.343874,4.2660394,6.220554,-4.199965,-15.871067,-5.4867463,-2.4089284,-2.907793,5.6747203,2.119579,-0.94475716,116_216_45_1_20250116_103813_gravy_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.040027365,0.97910666,0.00011143437,0.078911565,0.12888888,0.26966938,0.42501685,0.5570937,0.6933527,0.78507185,0.87206286,0.91648036,0.9489575,1.0230409,1.1010433,1.1847234,1.1965226,1.2877072,1.3209385,1.3280965,1.4004885,1.4376249,1.4488033,1.4194628,1.3112738,1.198507,1.0216504,0.8736729,0.72624,0.58038276,2.0460186e-06,6.867628e-07,43.066837,301.46786,581.40234,1758.5625,0.0013145186,843.2569,5.052259,4882988.0,5.9836097,45.39563,-1.5225272e-06,0.6452792,1.1514721e-06,13.688278,5.6763,2.6477957,-4.595833,-1.8543419,0.28438187,-5.6958947,-15.568332,-3.7259395,-1.495629,1.1555237,4.377581,-0.8433377,-0.13980849,116_216_45_1_20250116_103813_gravy_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.03759605,0.9734645,0.00010815338,0.08367347,0.13120534,0.27373728,0.42592108,0.5474165,0.68178195,0.7902546,0.86135906,0.89923906,0.9737847,1.013501,1.0921227,1.1805624,1.2034149,1.2902545,1.3231057,1.321926,1.3529028,1.3817863,1.445157,1.4137317,1.3296124,1.1966567,1.0105226,0.86794764,0.72237664,0.5797963,2.0504679e-06,5.8351526e-07,43.066837,308.64566,602.9357,1722.6735,0.0013054577,856.92523,5.073906,5381417.5,5.921968,43.56892,-1.3460864e-06,0.6608028,9.753934e-07,15.343936,5.9994416,-0.17368992,-3.3975003,-3.3874216,-3.3428907,-7.4241347,-13.524781,-1.7540383,-2.0654056,2.867983,2.8577187,-0.36324796,1.541118,116_216_45_1_20250116_103813_gravy_board.wav
