end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.11050252,0.98834115,0.000434273,0.18866213,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.2372995e-05,1.2113567e-05,172.26735,409.13498,2074.386,3294.613,0.0023018348,1430.5348,5.7747173,5378018.5,3.6775239,24.256134,-2.5479005e-05,1.0492496,2.6034757e-05,9.135598,14.288605,4.7745314,0.068553604,16.2828,6.228472,-3.3326225,-14.030889,-0.9861936,-14.880199,-6.103597,-3.862271,-2.4792295,4.027749,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.100182034,0.98834115,0.00037343637,0.1564626,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.576957e-05,8.981647e-06,165.08954,430.66837,2275.3645,4486.129,0.004486455,1627.4061,6.068915,6363117.5,3.0446117,17.916332,-1.788363e-05,1.1742668,2.0066263e-05,7.341709,14.512227,5.0320487,-0.24540448,14.553825,3.4774704,0.10762151,-12.513202,-0.45366415,-13.675976,-5.8318295,-2.4273415,-1.9026455,4.0903316,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.083691485,0.98834115,0.00029916794,0.11496598,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,9.237541e-06,5.3200943e-06,179.44514,437.8462,2275.3645,4536.3735,0.005526431,1639.7789,5.9768524,6664146.0,3.345174,22.114004,-9.799775e-06,1.182954,1.3773918e-05,6.7884445,14.413231,4.5427313,2.845479,11.963192,-3.2053921,-0.44395223,-13.066854,-2.74207,-15.550488,-7.8976517,-3.3387012,-1.3486938,6.0271153,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.061243597,0.98834115,0.00020259456,0.082993194,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.0862924e-06,2.1561875e-06,143.55612,208.15639,617.2913,2490.6985,0.004315836,844.2381,5.3152432,3390770.0,5.667263,51.165874,-5.291855e-06,0.6545848,5.316017e-06,13.219377,11.711388,-0.14525843,3.0799901,16.16674,-0.70979863,-1.4325389,-8.920956,2.6054866,-7.3497314,-3.1868165,-5.1491985,-1.4319588,7.3780503,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.0517775,0.9824915,0.00017272895,0.075510204,0.12808688,0.26526105,0.41953453,0.5606293,0.6930211,0.7537382,0.82599884,0.9138029,1.0054276,1.0507638,1.0957597,1.1260916,1.1985517,1.2556758,1.3151351,1.3899065,1.3916086,1.4266421,1.4470043,1.4443421,1.3497257,1.2428765,1.0474687,0.891377,0.72115284,0.58519334,3.033371e-06,1.8159453e-06,129.20052,193.80077,516.80206,1349.4276,0.0028344525,620.3293,5.0606055,2487819.8,7.505234,75.87421,-4.231833e-06,0.5142861,3.7291004e-06,17.604296,7.8804545,-2.8317702,7.8597074,17.887087,-0.39633942,-5.8298035,-7.0947785,3.6317637,-8.015378,-4.4083266,-4.0403056,0.2434942,9.125539,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.049062073,0.9763372,0.00015391257,0.075283445,0.122914694,0.2626011,0.42092583,0.57343745,0.7241184,0.74127173,0.80763644,0.9010574,1.0031315,1.0381441,1.0826817,1.0962539,1.1760215,1.2259251,1.3055786,1.4134755,1.3720703,1.3918271,1.4379568,1.4400967,1.3440795,1.2668567,1.0396675,0.89501333,0.71949834,0.58252484,2.1945807e-06,2.1114968e-06,100.48929,244.04541,674.7138,1349.4276,0.0022837706,609.97003,5.2409854,2424748.2,8.289134,87.01132,-3.6790352e-06,0.514821,2.445114e-06,21.180168,4.1348214,-5.946682,7.0131207,18.148468,4.303188,-5.968025,-4.0038013,12.31221,0.5755059,-4.8375087,0.50356275,3.042392,8.16089,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.046803832,0.9702473,0.00014138318,0.079365075,0.12142688,0.26395348,0.42307925,0.5596071,0.7154877,0.7371344,0.80977684,0.88877684,0.99052733,1.0380017,1.0705267,1.0893213,1.1508275,1.2118055,1.3100843,1.406799,1.3429993,1.3802038,1.4353958,1.4502482,1.3419484,1.2628163,1.0366038,0.8938388,0.7202781,0.5749622,2.0174518e-06,2.1031103e-06,100.48929,265.57883,868.51447,1392.4945,0.0018435749,692.78815,5.4212513,2944592.0,7.855259,76.564186,-2.8433176e-06,0.5792084,2.1843555e-06,21.818443,1.3255528,-6.2013435,7.4219227,16.923445,4.5491877,-8.262269,-6.302428,9.396919,0.99886495,-5.6159186,-0.027736345,4.5027475,6.6107993,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.047491293,0.96761674,0.00013888818,0.07845805,0.121068515,0.2679069,0.42872643,0.5601053,0.7080264,0.73178345,0.8094148,0.8914666,0.9687333,1.0243145,1.0796283,1.1220126,1.1573328,1.2277881,1.3284975,1.370102,1.3290914,1.3803774,1.4221034,1.4272672,1.3384911,1.2338287,1.0414418,0.8926773,0.7220016,0.573847,2.1855167e-06,2.8276208e-06,107.66709,315.82346,1091.0265,1406.85,0.0017025386,754.58624,5.433725,3007890.0,7.781746,75.42911,-2.8851507e-06,0.628318,2.350502e-06,22.46485,-0.5391035,-7.292831,6.966995,15.168317,2.9044964,-10.493291,-8.256574,12.390399,4.6532674,-6.679713,-3.5711758,4.275362,5.094303,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.04668988,0.9659125,0.0001383684,0.080952376,0.1257382,0.26997703,0.42027268,0.5518002,0.689795,0.7449055,0.83139753,0.90454674,0.9687107,1.0209516,1.0943654,1.1380262,1.1795366,1.240156,1.3194739,1.3286189,1.32308,1.389946,1.409216,1.4148555,1.3346831,1.2091765,1.0349151,0.88310224,0.71128035,0.57519865,1.6795221e-06,3.2619953e-06,129.20052,373.24594,1270.4717,1428.3834,0.0018103747,817.708,5.4407883,2946829.0,7.6547832,74.12118,-2.6780683e-06,0.67813325,2.4798017e-06,22.569778,-1.9443668,-7.766292,9.312375,16.355085,-1.2888156,-12.862161,-3.610335,11.661496,0.53085154,-8.554626,-10.841657,0.44640413,3.7904751,116_216_52_1_20250116_104050_christmas_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.046497915,0.9664469,0.00013909269,0.080725625,0.12785833,0.26657274,0.41124257,0.56350976,0.7033203,0.7351381,0.82470566,0.91178346,0.9883418,1.0299796,1.0759312,1.1140703,1.1893896,1.2384883,1.3069234,1.3414302,1.343256,1.4012946,1.4216805,1.3975778,1.3273816,1.215116,1.0303766,0.8787825,0.705951,0.5775184,2.2546692e-06,3.1228556e-06,122.022705,423.49057,1198.6937,1435.5612,0.0017860499,801.9255,5.427095,2830435.2,7.8616447,77.31782,-2.712075e-06,0.6711576,2.4386643e-06,23.703606,-1.9097223,-8.398936,8.285581,14.293655,-5.0345273,-13.798137,-2.2141325,12.538556,-1.0197731,-5.619894,-5.2158813,3.5519006,7.142525,116_216_52_1_20250116_104050_christmas_board.wav
