end,start,F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14],file_path
0 days 00:00:00.033333333,0 days 00:00:00,0.0,0.0,0.0,0.0,0.0,-100.0,0.10456557,0.98834115,0.00045457578,0.12358277,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,3.5300873e-05,7.928228e-06,122.022705,200.97858,344.5347,1191.5159,0.002195808,650.18915,4.8523936,2178528.5,4.6716137,31.49443,-3.1701195e-05,0.52602494,3.421022e-05,13.531665,15.31223,3.9530735,2.7319715,9.809873,1.5453715,0.31366572,-2.3316815,1.0844849,-10.282162,9.238133,-4.1081395,5.3169703,6.882921,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:00.066666667,0 days 00:00:00.033333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.08684536,0.98834115,0.00041382652,0.08526077,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.175713e-05,5.3561575e-06,129.20052,186.62297,294.29007,890.0479,0.003823952,549.347,4.4908595,1828937.0,6.328625,63.643932,-2.3455075e-05,0.4504865,2.6783826e-05,13.94487,14.860481,7.176291,7.501455,13.253123,3.188012,0.5931441,-6.5351443,-1.6215297,-11.650983,5.9809265,-3.6192157,0.4998169,4.3009267,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:00.100000,0 days 00:00:00.066666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.06451692,0.98834115,0.00032453504,0.055555556,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,6.953649e-06,2.4161266e-06,143.55614,172.26735,272.75662,617.2913,0.004945606,474.4305,4.205998,1754166.6,7.8073463,87.69357,-1.2298379e-05,0.3943633,1.624968e-05,14.833801,13.924687,10.133187,8.706158,15.852149,4.669648,-2.5320327,-11.653529,-5.637909,-10.238057,2.736953,-2.205619,-0.58221287,2.236112,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:00.133333333,0 days 00:00:00.100000,0.0,0.0,0.0,0.0,0.0,-100.0,0.050783943,0.98834115,0.00021842646,0.07687075,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,4.3161986e-06,1.2730633e-06,129.20052,172.26735,301.46786,768.0252,0.0036926472,528.468,4.5133433,2516557.0,8.113518,89.97403,-7.055804e-06,0.43319544,7.451064e-06,15.609848,9.848719,10.003381,10.601462,15.78294,5.0155478,-4.1325135,-12.4572,-4.6457334,-10.769694,-3.301896,-0.07215945,-0.4762745,5.0792136,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:00.166666667,0 days 00:00:00.133333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.046856955,0.9901665,0.00015259488,0.08503401,0.12804775,0.28164932,0.4482287,0.5776357,0.66933805,0.779116,0.8528529,0.9000068,0.96962327,1.0686173,1.1116751,1.1505119,1.2228411,1.3059555,1.3292836,1.3697432,1.4289303,1.4825493,1.4271065,1.3971891,1.3541684,1.2094835,1.0601941,0.89922625,0.7251957,0.5951578,2.813682e-06,1.0947343e-06,100.48929,215.33418,437.8462,1191.5157,0.0027652793,640.549,4.8739696,3172461.2,7.2937493,69.70016,-3.3512981e-06,0.5139597,3.392918e-06,16.66733,4.7758164,7.5756564,6.0193,9.985667,4.060685,-5.615797,-7.5816426,0.861386,-10.599985,-9.404462,3.0878708,3.156429,5.036848,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:00.200000,0 days 00:00:00.166666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.045744836,0.9772963,0.00014165552,0.08095238,0.12666261,0.29245257,0.472041,0.5933615,0.6920807,0.7732742,0.81402177,0.8698806,0.95005894,1.092371,1.1071681,1.1208957,1.1867024,1.2970196,1.2992544,1.3500932,1.3856152,1.4486176,1.3870939,1.3877257,1.3402148,1.1835995,1.0454613,0.8896391,0.71559805,0.5887988,2.7026215e-06,1.20934e-06,93.311485,251.22322,466.5574,1514.5171,0.0023494868,698.6805,5.190433,3498750.2,6.9849524,62.11728,-2.4966105e-06,0.5606621,2.4111912e-06,18.306717,1.5957254,4.390903,7.516327,7.4897213,0.10987536,-4.8759913,-1.6006585,4.121639,-12.951634,-9.476489,6.4196105,4.7659698,5.35304,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:00.233333333,0 days 00:00:00.200000,0.0,0.0,0.0,0.0,0.0,-100.0,0.044843297,0.96125746,0.00014221735,0.06575964,0.12638514,0.29420233,0.47092327,0.58336335,0.6852004,0.75709224,0.79881644,0.8532793,0.9331328,1.0870554,1.1091602,1.1021571,1.1483518,1.2678148,1.2612695,1.3252227,1.3533888,1.4082369,1.3637079,1.3614875,1.3269428,1.1753774,1.0362643,0.8731675,0.70768183,0.58301073,3.4006418e-06,1.1950007e-06,107.66709,279.93442,502.44644,1320.7163,0.0019447492,625.248,5.162311,2879569.8,8.093929,79.55549,-2.7161059e-06,0.52457345,2.7637082e-06,22.553535,2.5894942,-0.21335888,5.975226,5.246611,-4.4462986,-8.532342,0.7794464,5.681103,-10.49977,-9.418151,7.2799454,2.3137555,-1.2575115,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:00.266666667,0 days 00:00:00.233333333,0.0,0.0,0.0,0.0,0.0,-100.0,0.043562416,0.9673435,0.0001402355,0.06689342,0.1242846,0.28113732,0.45181656,0.5635589,0.67364293,0.7420053,0.7829127,0.8748835,0.9368791,1.0570778,1.0921987,1.1172736,1.1375426,1.2597017,1.2919167,1.3615993,1.402656,1.4518503,1.4021903,1.3960558,1.3417544,1.1945937,1.0483131,0.87079257,0.7114075,0.58288366,3.3549277e-06,1.1230971e-06,129.20052,265.57883,509.62424,1320.7163,0.0018384294,645.6281,5.2732763,3066471.2,8.027523,77.4358,-2.4638464e-06,0.5430527,2.440752e-06,22.966356,2.250027,-0.9203403,6.810615,4.356501,-7.7009463,-8.071205,0.64826775,2.7472565,-10.35233,-6.0524673,8.7234535,2.2157495,-1.2056135,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:00.300000,0 days 00:00:00.266666667,0.0,0.0,0.0,0.0,0.0,-100.0,0.043810308,0.976788,0.00013834676,0.06712018,0.1255183,0.27444538,0.43332097,0.556253,0.65929204,0.7376087,0.80037683,0.8997796,0.95801306,1.0197408,1.0867517,1.1490774,1.1903952,1.2581547,1.3288566,1.3678478,1.433804,1.4754,1.4400383,1.3994433,1.3491863,1.2131739,1.0549024,0.8841675,0.71536356,0.58557326,3.489521e-06,1.1628912e-06,129.20052,287.11224,588.58014,1399.6722,0.0016061979,666.67816,5.275354,3019873.2,8.087543,79.160446,-2.468948e-06,0.5621838,2.509928e-06,23.410072,2.139159,-1.8218387,4.851505,2.6607,-9.927625,-6.9409676,3.7052078,5.5205083,-12.073979,-10.134501,10.467126,5.3168383,-0.39534712,116_216_53_1_20250116_104129_trumpet_board.wav
0 days 00:00:00.333333333,0 days 00:00:00.300000,0.0,0.0,0.0,0.0,0.0,-100.0,0.045174986,0.980663,0.00014193682,0.07437641,0.12651743,0.27920672,0.4381717,0.5695709,0.662694,0.75282574,0.8129279,0.89366204,0.96389896,1.0413965,1.1139629,1.1463097,1.2077318,1.2732719,1.3146647,1.3753175,1.4247648,1.4750458,1.4300567,1.4016181,1.3425179,1.2057967,1.0444889,0.89403754,0.7186312,0.5881498,4.0805703e-06,1.3040236e-06,136.37831,301.46786,552.6911,1485.806,0.0015991377,661.9122,5.2535257,2862957.2,8.198223,83.19077,-2.6586433e-06,0.55609256,2.7010065e-06,22.22101,1.3406698,0.6092103,8.4411745,2.3726223,-11.313027,-7.6071897,-0.13840246,2.7762983,-16.694582,-9.479683,10.349193,8.074337,0.79593796,116_216_53_1_20250116_104129_trumpet_board.wav
